 1.19174938465191e-08  213  2.00000e-07  2.79854e-14
 1.25595086090190e+03     3.26048299489302e+02      4
 1.24299380729746e+03     3.12472643765543e+02      4
 1.22479885376653e+03     2.93484761986865e+02      4
 1.22249200459405e+03     -1.99978576448790e+02      1
 1.22120735794581e+03     -2.01315109867665e+02      1
 1.21986998418936e+03     -2.02706038564432e+02      1
 1.21848368303328e+03     -2.04147357552717e+02      1
 1.21705150401164e+03     -2.05635845031708e+02      1
 1.21557605740133e+03     -2.07168738437176e+02      1
 1.21405963903942e+03     -2.08743604316848e+02      1
 1.21250428668130e+03     -2.10358279478044e+02      1
 1.21091181374201e+03     -2.12010835679249e+02      1
 1.20928383528020e+03     -2.13699552404501e+02      1
 1.20762179040747e+03     -2.15422893371157e+02      1
 1.20592696225473e+03     -2.17179485595511e+02      1
 1.20420049588011e+03     -2.18968100616533e+02      1
 1.20244341433709e+03     -2.20787637650306e+02      1
 1.20065663307918e+03     -2.22637108490919e+02      1
 1.19884097285961e+03     -2.24515623992412e+02      1
 1.19699717127010e+03     -2.26422381980802e+02      1
 1.19512589305029e+03     -2.28356656458266e+02      1
 1.19322773928764e+03     -2.30317787973787e+02      1
 1.19130325561670e+03     -2.32305175045885e+02      1
 1.18935293951656e+03     -2.34318266533521e+02      1
 1.18737724679611e+03     -2.36356554860935e+02      1
 1.18537659734827e+03     -2.38419570010974e+02      1
 1.18335138024664e+03     -2.40506874209591e+02      1
 1.18130195825095e+03     -2.42618057231518e+02      1
 1.17922867178149e+03     -2.44752732263830e+02      1
 1.17713184241672e+03     -2.46910532270167e+02      1
 1.17501177596310e+03     -2.49091106803919e+02      1
 1.17286876514154e+03     -2.51294119223622e+02      1
 1.17070309193047e+03     -2.53519244268340e+02      1
 1.16851502960176e+03     -2.55766165954870e+02      1
 1.16630484448207e+03     -2.58034575762302e+02      1
 1.16407279746942e+03     -2.60324171072755e+02      1
 1.16181914533144e+03     -2.62634653840161e+02      1
 1.15954414180955e+03     -2.64965729461643e+02      1
 1.15724803855095e+03     -2.67317105828520e+02      1
 1.15493108588796e+03     -2.69688492536158e+02      1
 1.15259353348273e+03     -2.72079600233950e+02      1
 1.15023563085318e+03     -2.74490140098478e+02      1
 1.14785762779491e+03     -2.76919823414596e+02      1
 1.14545977471202e+03     -2.79368361250676e+02      1
 1.14304232286879e+03     -2.81835464215601e+02      1
 1.14060552457268e+03     -2.84320842286366e+02      1
 1.13814963329844e+03     -2.86824204696234e+02      1
 1.13567490376173e+03     -2.89345259874481e+02      1
 1.13318159195013e+03     -2.91883715429642e+02      1
 1.13066995511832e+03     -2.94439278169081e+02      1
 1.12814025175358e+03     -2.97011654148454e+02      1
 1.12559274151722e+03     -2.99600548745375e+02      1
 1.12302768516672e+03     -3.02205666752220e+02      1
 1.12044534446280e+03     -3.04826712483631e+02      1
 1.11784598206535e+03     -3.07463389894804e+02      1
 1.11522986142150e+03     -3.10115402707144e+02      1
 1.11259724664861e+03     -3.12782454538335e+02      1
 1.10994840241475e+03     -3.15464249034266e+02      1
 1.10728359381886e+03     -3.18160490000649e+02      1
 1.10460308627222e+03     -3.20870881532485e+02      1
 1.10190714538296e+03     -3.23595128139844e+02      1
 1.09919603684467e+03     -3.26332934868735e+02      1
 1.09647002633025e+03     -3.29084007416024e+02      1
 1.09372937939170e+03     -3.31848052237662e+02      1
 1.09097436136652e+03     -3.34624776649614e+02      1
 1.08820523729109e+03     -3.37413888921117e+02      1
 1.08542227182131e+03     -3.40215098359996e+02      1
 1.08262572916073e+03     -3.43028115389958e+02      1
 1.07981587299600e+03     -3.45852651619865e+02      1
 1.07699296643971e+03     -3.48688419905108e+02      1
 1.07415727198048e+03     -3.51535134401294e+02      1
 1.07130905143987e+03     -3.54392510610528e+02      1
 1.06844856593593e+03     -3.57260265420624e+02      1
 1.06557607585312e+03     -3.60138117137660e+02      1
 1.06269184081790e+03     -3.63025785512299e+02      1
 1.05979611967993e+03     -3.65922991760339e+02      1
 1.05688917049810e+03     -3.68829458577984e+02      1
 1.05397125053112e+03     -3.71744910152343e+02      1
 1.05104261623211e+03     -3.74669072167647e+02      1
 1.04810352324672e+03     -3.77601671807701e+02      1
 1.04515422641425e+03     -3.80542437755074e+02      1
 1.04219497977145e+03     -3.83491100187513e+02      1
 1.03922603655828e+03     -3.86447390772061e+02      1
 1.03624764922543e+03     -3.89411042657341e+02      1
 1.03326006944309e+03     -3.92381790464442e+02      1
 1.03026354811041e+03     -3.95359370276824e+02      1
 1.02725833536557e+03     -3.98343519629635e+02      1
 1.02424468059577e+03     -4.01333977498809e+02      1
 1.02122283244704e+03     -4.04330484290271e+02      1
 1.01819303883345e+03     -4.07332781829577e+02      1
 1.01515554694548e+03     -4.10340613352250e+02      1
 1.01211060325727e+03     -4.13353723495087e+02      1
 1.00905845353248e+03     -4.16371858288637e+02      1
 1.00599934282870e+03     -4.19394765151077e+02      1
 1.00293351550007e+03     -4.22422192883624e+02      1
 9.99861215198022e+02     -4.25453891667653e+02      1
 9.96782684870083e+02     -4.28489613063624e+02      1
 9.93698166756536e+02     -4.31529110011915e+02      1
 9.90607902384921e+02     -4.34572136835639e+02      1
 9.87512132562292e+02     -4.37618449245478e+02      1
 9.84411097365220e+02     -4.40667804346589e+02      1
 9.81305036127493e+02     -4.43719960647556e+02      1
 9.78194187425539e+02     -4.46774678071419e+02      1
 9.75078789061580e+02     -4.49831717968721e+02      1
 9.71959078044537e+02     -4.52890843132561e+02      1
 9.68835290568763e+02     -4.55951817815578e+02      1
 9.65707661990627e+02     -4.59014407748823e+02      1
 9.62576426803041e+02     -4.62078380162423e+02      1
 9.59441818608015e+02     -4.65143503807969e+02      1
 9.56304070087303e+02     -4.68209548982527e+02      1
 9.53163412971271e+02     -4.71276287554171e+02      1
 9.50020078006057e+02     -4.74343492988933e+02      1
 9.46874294919160e+02     -4.77410940379072e+02      1
 9.43726292383555e+02     -4.80478406472522e+02      1
 9.40576297980456e+02     -4.83545669703430e+02      1
 9.37424538160844e+02     -4.86612510223646e+02      1
 9.34271238205889e+02     -4.89678709935053e+02      1
 9.31116622186379e+02     -4.92744052522616e+02      1
 9.27960912921286e+02     -4.95808323488031e+02      1
 9.24804331935587e+02     -4.98871310183852e+02      1
 9.21647099417467e+02     -5.01932801847985e+02      1
 9.18489434175017e+02     -5.04992589638426e+02      1
 9.15331553592551e+02     -5.08050466668137e+02      1
 9.12173673586659e+02     -5.11106228039950e+02      1
 9.09016008562101e+02     -5.14159670881392e+02      1
 9.05858771367658e+02     -5.17210594379325e+02      1
 9.02702173252054e+02     -5.20258799814312e+02      1
 8.99546423820032e+02     -5.23304090594602e+02      1
 8.96391730988703e+02     -5.26346272289655e+02      1
 8.93238300944254e+02     -5.29385152663119e+02      1
 8.90086338099101e+02     -5.32420541705172e+02      1
 8.86936045049589e+02     -5.35452251664159e+02      1
 8.83787622534306e+02     -5.38480097077450e+02      1
 8.80641269393092e+02     -5.41503894801452e+02      1
 8.77497182526824e+02     -5.44523464040713e+02      1
 8.74355556858038e+02     -5.47538626376056e+02      1
 8.71216585292458e+02     -5.50549205791698e+02      1
 8.68080458681484e+02     -5.53555028701299e+02      1
 8.64947365785703e+02     -5.56555923972897e+02      1
 8.61817493239474e+02     -5.59551722952687e+02      1
 8.58691025516625e+02     -5.62542259487621e+02      1
 8.55568144897318e+02     -5.65527369946776e+02      1
 8.52449031436109e+02     -5.68506893241478e+02      1
 8.49333862931249e+02     -5.71480670844157e+02      1
 8.46222814895250e+02     -5.74448546805904e+02      1
 8.43116060526743e+02     -5.77410367772721e+02      1
 8.40013770683659e+02     -5.80365983000447e+02      1
 8.36916113857749e+02     -5.83315244368352e+02      1
 8.33823256150457e+02     -5.86258006391396e+02      1
 8.30735361250172e+02     -5.89194126231132e+02      1
 8.27652590410850e+02     -5.92123463705280e+02      1
 8.24575102432041e+02     -5.95045881295942e+02      1
 8.21503053640297e+02     -5.97961244156495e+02      1
 8.18436597871994e+02     -6.00869420117138e+02      1
 8.15375886457535e+02     -6.03770279689117e+02      1
 8.12321068206969e+02     -6.06663696067651e+02      1
 8.09272289396984e+02     -6.09549545133535e+02      1
 8.06229693759298e+02     -6.12427705453483e+02      1
 8.03193422470425e+02     -6.15298058279182e+02      1
 8.00163614142798e+02     -6.18160487545109e+02      1
 7.97140404817260e+02     -6.21014879865107e+02      1
 7.94123927956883e+02     -6.23861124527766e+02      1
 7.91114314442121e+02     -6.26699113490597e+02      1
 7.88111692567261e+02     -6.29528741373059e+02      1
 7.85116188038169e+02     -6.32349905448435e+02      1
 7.82127923971305e+02     -6.35162505634602e+02      1
 7.79147020893981e+02     -6.37966444483706e+02      1
 7.76173596745852e+02     -6.40761627170782e+02      1
 7.73207766881601e+02     -6.43547961481335e+02      1
 7.70249644074816e+02     -6.46325357797923e+02      1
 7.67299338523005e+02     -6.49093729085756e+02      1
 7.64356957853754e+02     -6.51852990877355e+02      1
 7.61422607131982e+02     -6.54603061256292e+02      1
 7.58496388868269e+02     -6.57343860840039e+02      1
 7.55578403028236e+02     -6.60075312761968e+02      1
 7.52668747042948e+02     -6.62797342652516e+02      1
 7.49767515820298e+02     -6.65509878619560e+02      1
 7.46874801757374e+02     -6.68212851228025e+02      1
 7.43990694753738e+02     -6.70906193478755e+02      1
 7.41115282225632e+02     -6.73589840786684e+02      1
 7.38248649121047e+02     -6.76263730958330e+02      1
 7.35390877935642e+02     -6.78927804168643e+02      1
 7.32542048729486e+02     -6.81582002937252e+02      1
 7.29702239144579e+02     -6.84226272104110e+02      1
 7.26871524423142e+02     -6.86860558804605e+02      1
 7.24049977426626e+02     -6.89484812444132e+02      1
 7.21237668655430e+02     -6.92098984672177e+02      1
 7.18434666269282e+02     -6.94703029355936e+02      1
 7.15641036108266e+02     -6.97296902553494e+02      1
 7.12856841714460e+02     -6.99880562486593e+02      1
 7.10082144354159e+02     -7.02453969513024e+02      1
 7.07317003040650e+02     -7.05017086098659e+02      1
 7.04561474557519e+02     -7.07569876789157e+02      1
 7.01815613482454e+02     -7.10112308181373e+02      1
 6.99079472211524e+02     -7.12644348894480e+02      1
 6.96353100983894e+02     -7.15165969540857e+02      1
 6.93636547906968e+02     -7.17677142696738e+02      1
 6.90929858981920e+02     -7.20177842872667e+02      1
 6.88233078129588e+02     -7.22668046483771e+02      1
 6.85546247216708e+02     -7.25147731819888e+02      1
 6.80202595227485e+02     -7.30075467566248e+02      1
 6.69636348717924e+02     -7.39803930816565e+02      1
 6.48994796378323e+02     -7.58750358268840e+02      1
 6.09707602241547e+02     -7.94600389508616e+02      1
 5.39082358303116e+02     -8.58369007179388e+02      1
 4.26448795346543e+02     -9.58339521582693e+02      1
 2.80556009143358e+02     -1.08485641600716e+03      1
 1.36974453764664e+02     -1.20631523469107e+03      1
 4.29626456713793e+01     -1.28430348717124e+03      1
 2.10629886991931e+01     -1.30230294895272e+03      1
 1.99773851617460e+01     -1.30319359635288e+03      1
 1.99672001535444e+01     -1.30320195158439e+03      1
 1.99671814096948e+01     -1.30320196696082e+03      1
